"","OBP","SLG","BA","Playoffs.x","BatAge","Num.Bat","Num.P","WAR","RA.G","ERA","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"536",0.34,0.398,0.259,0,28.5,38,16,8.2,4.05,3.79,3.86,1.323,8.7,0.8,3.2,5.2,1.63,7.0679012345679,106,0.296296296296296,0.123456790123457,0.0987654320987654,0.0555555555555556,4.35185185185185,89
"537",0.321,0.347,0.246,0,28.9,38,16,8.9,4.13,3.58,3.63,1.338,8.7,0.7,3.3,5.9,1.76,7.14814814814815,116,0.240740740740741,0.135802469135802,0.0802469135802469,0.037037037037037,3.69753086419753,73
"538",0.301,0.338,0.243,0,28.1,41,16,5.8,4.14,3.84,3.91,1.37,9,0.8,3.3,5.5,1.67,7.0679012345679,103,0.259259259259259,0.160493827160494,0.0802469135802469,0.037037037037037,3.57407407407407,72
"539",0.307,0.364,0.254,0,28.3,41,17,9.4,3.85,3.39,3.77,1.302,8.2,0.7,3.5,5.5,1.57,7.22222222222222,107,0.228395061728395,0.0987654320987654,0.0679012345679012,0.0308641975308642,3.66049382716049,78
"540",0.336,0.383,0.261,0,28.7,35,13,6.9,4.26,3.82,4.01,1.334,8.6,0.8,3.4,5,1.47,7.21604938271605,101,0.320987654320988,0.12962962962963,0.0308641975308642,0.0185185185185185,4.55555555555556,86
"541",0.328,0.382,0.26,0,27.9,42,17,5.9,3.76,3.46,3.33,1.264,8.5,0.7,2.9,6.6,2.26,6.69135802469136,106,0.339506172839506,0.0555555555555556,0.0679012345679012,0.0246913580246914,4.07407407407407,90
"542",0.323,0.383,0.266,0,25.9,42,20,6.6,4.6,4.11,4.2,1.41,9.2,1,3.5,5.4,1.57,7.24691358024691,96,0.283950617283951,0.0802469135802469,0.0432098765432099,0.0246913580246914,4.16049382716049,76
"543",0.337,0.407,0.256,0,29.9,34,15,5,4.9,4.6,4.46,1.461,9.6,1,3.5,4.3,1.23,7.11728395061728,86,0.222222222222222,0.0617283950617284,0.0246913580246914,0.0123456790123457,4.88271604938272,75
"544",0.313,0.359,0.246,0,26.4,38,16,5.7,4.12,3.72,3.64,1.319,8.5,0.7,3.3,6,1.81,7.2037037037037,91,0.277777777777778,0.0308641975308642,0.0740740740740741,0.0123456790123457,3.75308641975309,81
"545",0.315,0.364,0.256,0,28.9,42,22,8.1,4.12,3.81,3.72,1.339,8.9,0.7,3.2,5.2,1.63,7.17283950617284,106,0.271604938271605,0.0555555555555556,0.0740740740740741,0.0308641975308642,3.76543209876543,72
"546",0.313,0.339,0.248,0,28.4,36,14,4.8,3.93,3.41,3.37,1.359,8.8,0.5,3.5,6.1,1.77,7.66666666666667,102,0.179012345679012,0.111111111111111,0.0802469135802469,0.0679012345679012,3.38271604938272,63
